RecipeTitle,IngredientName,Quantity
"Salsa Buena","Black Pepper (ground)",30
"Salsa Buena",Salt,70
Trifle,"Colored sugar sprinkles",1
"Yorkshire Pudding","Beef drippings",4
"Huachinango Veracruzana (Red Snapper, Veracruz style)",Nutmeg,0.25
"Huachinango Veracruzana (Red Snapper, Veracruz style)",Cinnamon,3
"Huachinango Veracruzana (Red Snapper, Veracruz style)","Lime Juice",2
"Tourtière (French-Canadian Pork Pie)","Ground Clove",0.5
"Fettuccini Alfredo",Butter,42
"Fettuccini Alfredo","Vegetable Oil",1
"Salmon Filets in Parchment Paper","Lemon Juice",2
"Coupe Colonel",Vodka,2
